SKU Code,Brand, Category,Product,Standard/Premium,Priority,MRP Price,Purchase Price,5% Margin,Delivery Fee,Minimum Sales Price,Recommended Retail Price,Market Price 1,Market Price 2,BH Price,Discount,Margin,Margin %,Top Benefits
,Superfan,Ceiling Fan,"Superfan Super myQ Smart BLDC Fan with 5 Years Warranty - 120 cm (48"" inches) ",Premium,1,13500,,0,120,120,,,,"7,400","6,100","7,400",#DIV/0!,
ELCE1358-1,Superfan,Ceiling Fan,"Superfan Super Sevak High Speed BLDC Ceiling Fan With 5 Years Warranty - 120 cm (48"" inches)",Standard,3,5800,,0,120,120,,,,"2,900","2,900",,#DIV/0!,
,Almonard ,Pedestal Fan,Almonard 24 inch Air Circulator Pedestal Fan Industrial Fan ,,,14080,12556,13183.8,,13183.8,,"12,976",,"11,600","2,480",-956,-7.61%,
,Almonard ,Wall Mounted Fan,Almonard Industrial 18 inch Wall Fan ,,,10250,8833,9274.65,,9274.65,,,,,"10,250","-8,833",-100.00%,
KICH0014,Bosch ,Chimney ,Bosch Chimney 90 CM - DWKA98H60I - Series 4 - Wall-Mounted Cooker Hood Flat Black,,,59990,39357,41324.85,,41324.85,,"44,750",,"44,500","15,490","5,143",13.07%,
,Bosch ,Chimney ,,,,,,0,,0,,,,,0,0,#DIV/0!,
HADW0013,Bosch ,Dishwasher ,Bosch Free-Standing Dishwasher 15 Place Settings - Series 6 - 60 Cm - SMS6HMC00I - Brushed steel anti-fingerprint,,,82190,61642.5,64724.625,,64724.625,,"69,500",70683,"69,800","12,390","8,158",13.23%,
HADW0013,Bosch ,Dishwasher ,Bosch Free-Standing Dishwasher 15 Place Settings - Series 6 - 60 Cm - SMS4HMB62T - Black ,,,89490,74719,78454.95,,78454.95,,"77,490",,"78,210","11,280","3,491",4.67%,
,Bosch ,Combi Steam Oven,Bosch 71L Series 8 Built-in oven with steam function 60 x 60 cm Black HSG7361B1,,,"279,990",183699,192883.95,,192883.95,,"209,990",,"209,990","70,000","26,291",14.31%,
,Bosch ,Oven,Bosch  71L Series 2 Built-in oven 60 x 60 cm Black HBF011BA1I,,,74490,,0,,0,,,,,"74,490",0,#DIV/0!,
HARE011204,Bosch ,Refrigerator,Bosch 559L  Double Door Bottom Mount Refrigerator Series 6 - KGN56LB42I,,,108090,85017,89267.85,,89267.85,,"86,390",,"87,294","20,796","2,277",2.68%,
,Bosch ,Refrigerator,,,,,,0,,0,,,,,0,0,#DIV/0!,
,Bosch ,Microwave Oven,Bosch 25L Series 6 Built-In Microwave Oven BEL554MB0I - Black,,,69990,45918,48213.9,,48213.9,,"52,290",,"52,490","17,500","6,572",14.31%,
,Bosch ,Microwave Oven,Bosch 25L Series 4 Built-In Microwave Oven BEL553MS0I Stainless steel,,,64490,42244,44356.2,,44356.2,,"₹46,690",,"48,290","16,200","6,046",14.31%,
,Bosch ,Microwave Oven,Bosch 25L Series 6 Built-In Microwave Oven BEL553MB0I - Black,,,"69,490",45481,47755.05,,47755.05,,"51,890",,"51,990","17,500","6,509",14.31%,
,Bosch ,Microwave Oven,Bosch 25L Series 4 Built-In Microwave Oven BEL550MS0I - Stainless Steel,,,"55,990",36733,38569.65,,38569.65,,"40,690",,"41,990","14,000","5,257",14.31%,
KICH00011,Bosch ,Hob,Bosch Built-in Gas Hob 75CM - Series 6 - 3 Burner - PND7B6F20I - Tempered Glass Black,,,"53,990",,0,,0,,,,"48,591","5,399","48,591",#DIV/0!,
HAHB0001,Bosch ,Hob,Bosch Built-in Gas Hob 75CM - Series 6 - 3 Burner -  PND7B6G20I - Tempered Glass Black,,,"59,990",,0,,0,,,,"53,991","5,999","53,991",#DIV/0!,
KICH00012,Bosch ,Hob,Bosch Built-in Gas Hob 60CM - Series 4 - 4 Burner -  PNH6B6F20I - Tempered Glass Black,,,"44,490",,0,,0,,,,"40,041","4,449","40,041",#DIV/0!,
HAHB0004,Bosch ,Hob,Bosch Built-in Gas Hob 5 Burner 90CM Series 6 PNV9B6F20I Tempered glass Black,,,"65,490",,0,,0,,,,"58,990","6,500","58,990",#DIV/0!,
,Bosch ,Hob,Bosch Built-in Gas Hob 4 Burner 90CM Series 4 PNF9B6G20I Tempered glass Black,,,,,0,,0,,,,,0,0,#DIV/0!,
KICH0025,Bosch ,Cooktop,Bosch Series 4 Table Top 4 Burners Gas Hob 60 cm PNP0E6W10I,,,"21,500",,0,,0,,,,"7,000","14,500","7,000",#DIV/0!,
,Bosch ,Washing Machine,Bosch Series 2 Washing Machine Top Loader 680 RPM WOE802D7IN,,,"31,490","22,000","23,100",,"23,100",23500,"23,500",,"23,500","7,990","1,500",6.82%,
,Bosch ,Washing Machine,,,,,,0,,0,,,,,,,,
,Bosch ,Vacuum Cleaner,Bosch Cordless Vacuum Cleaner Unlimited 7 Graphite BCS711AIN,,,"41,900","27,235","28,597",,"28,597","29,330","28,900",,"28,600",,,,
,Bosch ,Vacuum Cleaner,Bosch Cordless Vacuum Cleaner Unlimited 7 ProAnimal Red BCS71PETIN,,,"58,900","38,285","40,199",,"40,199","41,230","38,900","41,103","38,900","20,000",615,1.61%,
KICH0021,Faber ,Hob,"Faber 90cm 4 Burner Hob Experia HT 904 ALU AI FFD",,,,,0,,0,,,,,0,0,#DIV/0!,
,Faber ,Cooktop,Faber 77cm 3 Burner Cooktop Spark 3BB BK,,,8990,4521,4747.05,,4747.05,4599,"4,784",,"4,600","4,390",79,1.75%,
,Faber ,OTG,Faber FOTG 34L BK Double Glaze,,,"10,990","7,952","8,350",,"8,350","8,799","8,499",,"8,300","2,690",348,4.38%,
KICH0022,Faber ,Chimney ,Faber Hood Sunny IN HC SC FL LG 60 Auto Clean Filterless Chimney,Standard,1,26990,14394,15113.7,,15113.7,16520,"15,349",,"15,300","11,690",906,6.29%,
,Faber ,Cooktop,Faber Cooktop Remo XL 4BB,,,"13,990","10,266","10,779",,"10,779","11,550","10,945",10970,"10,900","3,090",634,6.18%,
,Faber ,Chimney ,Faber Hood Bolt FL SW SC BK 60 N,,,"49,990","31,992","33,592",,"33,592","35,260","31,849",34910,"34,500","15,490","2,508",7.84%,
,Faber ,Hob,Faber 75cm 3 Burner HOB BELLA HT753 BR AI,,,32550,"24,395","25,615",,"25,615","27,820","27,179",27211,"26,500","6,050","2,105",8.63%,
,Faber ,Microwave,Faber FMW Instacook 20_S Digital,,,"9,990","7,097","7,452",,"7,452","7,950","7,199","7,350","7,190","2,800",93,1.31%,
GLLE0011-24795171,S3,LED Mirror,S3 Classic Rectangular LED Mirror 24x18 inch - 3 Colour without Defogger ,Standard,1,"5,000",2500,2625,,2625,3100,,,"3,100","1,900",600,24.00%,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0,0,#DIV/0!,
,,,,,,,,,,,,,,,0,0,#DIV/0!,
